Table 1
,,"Table 10L: VETPOP2018 LIVING VETERANS BY 116th CONGRESSIONAL DISTRICT, STATE, AGE GROUP, GENDER, 2018-2048",,,,
Date,9/30/18,"Numbers from this table should be reported to the nearest 1,000.",,,,
Gender ,(All),Island Areas and Foreign Countries are not included in this table.,,,,
,,,,,,
Veteran ,,Age ,,,,
State,Congressional District (CD),Under 65,65 and Over,Grand Total,,
Alabama,CD 1,"31,182","25,239","56,421",,
,CD 2,"41,544","24,071","65,615",,
,CD 3,"33,882","23,058","56,940",,
,CD 4,"23,256","21,060","44,316",,
,CD 5,"34,928","24,687","59,615",,
,CD 6,"23,256","21,755","45,011",,
,CD 7,"28,770","16,761","45,531",,
Alabama Total,,"216,817","156,633","373,449",,
Alaska,CD (at Large),"50,189","23,037","73,226",,
Alaska Total,,"50,189","23,037","73,226",,
Arizona,CD 1,"24,802","31,641","56,443",,
,CD 2,"45,902","38,094","83,997",,
,CD 3,"24,939","15,463","40,402",,
,CD 4,"31,589","56,188","87,777",,
,CD 5,"29,438","28,728","58,166",,
,CD 6,"23,814","28,316","52,130",,
,CD 7,"19,407","9,621","29,028",,
,CD 8,"35,009","39,424","74,433",,
,CD 9,"26,528","17,975","44,503",,
Arizona Total,,"261,428","265,450","526,879",,
Arkansas,CD 1,"27,739","23,554","51,293",,
,CD 2,"35,853","24,156","60,008",,
,CD 3,"30,173","23,225","53,398",,
,CD 4,"26,338","25,301","51,638",,
Arkansas Total,,"120,102","96,235","216,337",,
California,CD 1,"24,114","33,402","57,516",,
,CD 2,"14,761","25,312","40,073",,
,CD 3,"30,298","21,508","51,807",,
,CD 4,"22,406","34,779","57,185",,
,CD 5,"17,823","21,346","39,168",,
,CD 6,"21,987","16,093","38,080",,
,CD 7,"25,682","24,136","49,818",,
,CD 8,"28,216","21,722","49,939",,
,CD 9,"19,507","16,999","36,505",,
,CD 10,"18,944","14,816","33,760",,
,CD 11,"12,999","18,980","31,979",,
,CD 12,"12,309","11,447","23,756",,
,CD 13,"13,790","11,743","25,533",,
,CD 14,"10,522","14,008","24,530",,
,CD 15,"14,817","12,462","27,278",,
,CD 16,"13,420","10,979","24,399",,
,CD 17,"9,661","9,762","19,423",,
,CD 18,"10,922","15,194","26,116",,
,CD 19,"13,816","10,510","24,326",,
,CD 20,"16,463","16,223","32,686",,
,CD 21,"12,890","8,328","21,218",,
,CD 22,"19,729","15,721","35,450",,
,CD 23,"25,578","19,567","45,145",,
,CD 24,"17,807","22,689","40,496",,
,CD 25,"19,617","13,621","33,238",,
,CD 26,"16,917","19,511","36,428",,
,CD 27,"9,721","12,683","22,403",,
,CD 28,"8,739","9,165","17,903",,
,CD 29,"9,812","6,054","15,866",,
,CD 30,"11,276","13,312","24,587",,
,CD 31,"17,695","13,066","30,761",,
,CD 32,"11,628","9,404","21,032",,
,CD 33,"10,376","17,018","27,395",,
,CD 34,"9,068","4,379","13,447",,
,CD 35,"13,095","8,428","21,524",,
,CD 36,"14,928","30,302","45,230",,
,CD 37,"9,410","9,652","19,062",,
,CD 38,"11,869","11,899","23,768",,
,CD 39,"13,555","14,201","27,756",,
,CD 40,"5,203","3,530","8,732",,
,CD 41,"15,189","11,237","26,426",,
,CD 42,"26,958","17,032","43,990",,
,CD 43,"13,447","10,865","24,312",,
,CD 44,"10,216","6,530","16,746",,
,CD 45,"14,994","15,730","30,724",,
,CD 46,"9,675","7,502","17,177",,
,CD 47,"16,313","13,509","29,822",,
,CD 48,"14,989","19,954","34,943",,
,CD 49,"33,038","19,990","53,028",,
,CD 50,"38,284","23,494","61,779",,
,CD 51,"27,215","11,322","38,537",,
,CD 52,"37,899","22,321","60,220",,
,CD 53,"49,555","19,874","69,429",,
California Total,,"929,141","823,313","1,752,454",,
Colorado,CD 1,"24,813","18,173","42,986",,
,CD 2,"24,094","22,507","46,601",,
,CD 3,"26,431","28,427","54,858",,
,CD 4,"27,276","22,529","49,805",,
,CD 5,"74,491","32,574","107,065",,
,CD 6,"31,113","19,593","50,706",,
,CD 7,"25,868","22,940","48,808",,
Colorado Total,,"234,086","166,743","400,829",,
Connecticut,CD 1,"18,037","18,025","36,062",,
,CD 2,"27,196","25,233","52,430",,
,CD 3,"17,041","19,720","36,761",,
,CD 4,"10,746","15,410","26,156",,
,CD 5,"17,102","19,146","36,249",,
Connecticut Total,,"90,123","97,534","187,657",,
Delaware,CD (at Large),"36,402","36,883","73,285",,
Delaware Total,,"36,402","36,883","73,285",,
Distric of Columbia,CD (at Large),"19,193","11,210","30,402",,
Distric of Columbia Total,,"19,193","11,210","30,402",,
Florida,CD 1,"70,692","39,928","110,620",,
,CD 2,"37,728","34,117","71,845",,
,CD 3,"39,489","29,426","68,915",,
,CD 4,"45,980","30,114","76,093",,
,CD 5,"42,282","19,062","61,345",,
,CD 6,"32,099","44,512","76,611",,
,CD 7,"27,146","22,839","49,985",,
,CD 8,"38,949","47,945","86,894",,
,CD 9,"29,868","25,069","54,937",,
,CD 10,"26,215","15,550","41,765",,
,CD 11,"29,306","65,016","94,322",,
,CD 12,"30,780","43,520","74,300",,
,CD 13,"31,197","35,486","66,683",,
,CD 14,"27,166","17,883","45,049",,
,CD 15,"33,936","26,473","60,409",,
,CD 16,"29,080","46,596","75,676",,
,CD 17,"25,700","53,381","79,081",,
,CD 18,"24,243","37,430","61,673",,
,CD 19,"22,070","49,123","71,193",,
,CD 20,"18,790","10,132","28,922",,
,CD 21,"15,486","31,010","46,496",,
,CD 22,"19,214","24,181","43,395",,
,CD 23,"17,713","13,599","31,312",,
,CD 24,"13,961","7,109","21,070",,
,CD 25,"10,499","12,536","23,035",,
,CD 26,"19,758","7,921","27,678",,
,CD 27,"11,536","8,826","20,363",,
Florida Total,,"770,883","798,784","1,569,667",,
Georgia,CD 1,"57,456","23,836","81,293",,
,CD 2,"37,420","19,373","56,793",,
,CD 3,"31,672","23,324","54,996",,
,CD 4,"30,960","15,203","46,164",,
,CD 5,"27,117","13,291","40,408",,
,CD 6,"19,297","15,810","35,107",,
,CD 7,"20,901","13,521","34,423",,
,CD 8,"38,983","21,136","60,119",,
,CD 9,"22,357","28,520","50,877",,
,CD 10,"25,532","20,587","46,119",,
,CD 11,"27,479","18,335","45,814",,
,CD 12,"40,994","21,832","62,826",,
,CD 13,"37,570","17,042","54,612",,
,CD 14,"22,843","17,226","40,069",,
Georgia Total,,"440,582","269,037","709,619",,
Hawaii,CD 1,"38,879","22,907","61,786",,
,CD 2,"29,896","26,493","56,389",,
Hawaii Total,,"68,775","49,400","118,175",,
Idaho,CD 1,"36,930","36,418","73,348",,
,CD 2,"28,350","26,282","54,631",,
Idaho Total,,"65,280","62,700","127,980",,
Illinois,CD 1,"17,952","16,429","34,382",,
,CD 2,"21,668","17,210","38,878",,
,CD 3,"13,229","14,964","28,193",,
,CD 4,"8,780","5,367","14,147",,
,CD 5,"10,370","11,336","21,705",,
,CD 6,"13,096","16,512","29,608",,
,CD 7,"15,297","9,481","24,779",,
,CD 8,"12,605","12,584","25,189",,
,CD 9,"10,233","13,606","23,840",,
,CD 10,"15,337","14,395","29,732",,
,CD 11,"14,159","13,788","27,947",,
,CD 12,"33,985","25,994","59,979",,
,CD 13,"24,488","22,825","47,313",,
,CD 14,"16,717","18,835","35,552",,
,CD 15,"25,133","26,245","51,378",,
,CD 16,"22,081","23,410","45,491",,
,CD 17,"23,698","24,199","47,897",,
,CD 18,"25,722","25,033","50,755",,
Illinois Total,,"324,552","312,214","636,766",,
Indiana,CD 1,"23,019","21,357","44,376",,
,CD 2,"22,046","22,330","44,375",,
,CD 3,"23,674","21,105","44,779",,
,CD 4,"26,180","21,733","47,914",,
,CD 5,"23,816","22,564","46,380",,
,CD 6,"26,869","23,540","50,409",,
,CD 7,"30,820","17,106","47,926",,
,CD 8,"26,034","24,727","50,762",,
,CD 9,"29,318","23,079","52,397",,
Indiana Total,,"231,775","197,542","429,317",,
Iowa,CD 1,"25,267","28,600","53,867",,
,CD 2,"26,373","24,646","51,019",,
,CD 3,"27,820","24,519","52,338",,
,CD 4,"23,981","27,429","51,410",,
Iowa Total,,"103,440","105,194","208,634",,
Kansas,CD 1,"34,342","23,154","57,496",,
