Table 7L: Table 1
,,"Table 7L: VETPOP2018 LIVING VETERANS BY STATE, PERIOD OF SERVICE, GENDER, 2018-2048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,(All),"Numbers from this table should be reported to the nearest 1,000. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,9/30/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veterans ,Period of Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,(a) All Veterans (b+c),(b) Wartime Veterans (i+j+k+m+n+p+q+r+s+u+v+w),(c) Peacetime Veterans (h+l+o+t+x),(d) World War II (i+j+k),(e) Korean Conflict (j+k+m+n),(f) Vietnam Era (k+n+p+q+r+s),(g) Gulf War Era (q+r+s+u+v+w),(h) Pre-WWII,(i) WWII only,(j) WWII & KC,"(k) WWII, KC, VNE",(l) Between WWII & KC,(m) KC only,(n) KC & VNE,(o) Between KC & VNE,(p) VNE only,(q) VNE & GW Era - Pre 9/11,"(r) VNE, GW Era - Pre 9/11, GW Era - Post 9/11",(s) VNE & GW Era - Post 9/11,(t) Between VNE & GW Era,(u) GW Era - Pre 9/11 only,(v) GW Era - Pre 9/11 & GW Era - Post 9/11,(w) GW Era - Post 9/11 only,(x) Post GW Era,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,"373,449","291,733","81,717","5,835","19,281","119,912","160,520",43,"5,258",439,137,630,"15,900","2,805","24,294","106,673","6,831","2,456","1,010","56,749","53,389","40,687","56,147",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,"73,226","60,101","13,125",925,"2,561","20,501","38,284",5,863,41,21,42,"2,010",490,"2,976","18,393","1,067",70,460,"10,102","10,010","6,824","19,851",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,"526,879","411,827","115,051","13,811","38,220","187,710","189,667",94,"13,027",467,316,"2,070","33,234","4,203","45,288","170,913","8,878","2,851",548,"67,599","69,095","37,307","70,987",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,"216,337","171,285","45,052","5,228","13,751","75,075","85,280",24,"4,871",204,152,622,"10,929","2,465","12,699","67,383","3,677",786,611,"31,707","32,270","11,734","36,202",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,"1,752,454","1,366,866","385,588","62,049","131,595","559,828","655,612",796,"57,934","2,830","1,285","7,363","115,084","12,396","134,495","521,725","17,630","5,091","1,702","242,935","235,256","113,799","282,134",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"400,829","318,991","81,838","8,517","22,626","126,159","174,460",65,"7,956",322,239,"1,088","19,275","2,790","24,203","113,949","7,584","1,039",559,"56,482","59,773","40,242","65,264",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,"187,657","139,316","48,341","8,034","16,415","63,062","55,505",10,"7,593",305,136,"1,015","15,550",423,"17,424","59,804","2,456",76,167,"29,892","18,805","9,155","24,846",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,"73,285","55,681","17,604","1,562","5,071","26,696","24,766",12,"1,433",80,49,391,"4,512",430,"5,954","24,411","1,559",124,122,"11,246","8,529","5,857","8,574",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,"30,402","22,211","8,192","1,432","2,020","5,784","13,799",7,"1,386",32,14,72,"1,968",6,"1,580","5,006",0,542,216,"6,533","4,700","2,819","5,523",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,"1,569,667","1,197,972","371,694","54,356","132,478","523,635","543,725",279,"50,099","2,915","1,343","7,341","113,584","14,636","140,306","471,671","28,712","5,905","1,369","223,769","201,662","113,557","192,520",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,"709,619","563,832","145,787","11,256","32,434","211,761","328,387",94,"10,276",634,346,"1,777","28,249","3,205","36,921","192,736","12,853","1,727",895,"106,995","128,400","63,028","121,484",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,"118,175","97,405","20,770","3,127","7,489","36,245","54,853",9,"2,935",124,69,168,"6,537",760,"6,369","32,128","1,207","1,127",954,"14,224","10,557","16,326","24,681",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,"127,980","102,184","25,796","3,262","9,296","46,721","46,346",19,"3,020",113,130,613,"8,339",715,"8,563","43,523","2,101",50,203,"16,600","16,091","9,914","17,987",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,"636,766","481,402","155,364","19,866","48,245","212,533","212,414",197,"18,652",802,411,"2,092","45,446","1,586","51,928","202,090","6,488","1,468",489,"101,147","80,958","34,301","88,711",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,"429,317","317,139","112,178","11,486","28,173","140,716","144,191",64,"10,687",626,173,"1,743","26,239","1,135","34,547","134,088","3,543","1,248",529,"75,824","56,448","20,863","61,560",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,"208,634","157,466","51,168","6,729","17,274","69,730","68,350",18,"5,960",663,106,730,"16,209",296,"19,460","65,881","1,998","1,183",265,"30,960","25,618","11,168","28,117",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,"205,088","167,175","37,913","5,749","14,209","65,645","87,702",13,"5,412",251,85,792,"13,021",852,"12,619","59,852","3,374","1,064",417,"24,488","28,087","17,060","37,700",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,"297,201","228,690","68,512","5,603","18,106","97,185","114,357",48,"5,192",237,174,"1,196","16,735",960,"21,229","91,035","3,854",859,303,"46,039","42,653","23,374","43,313",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,"297,679","237,165","60,514","7,512","16,366","91,062","129,168",53,"6,618",703,191,751,"14,176","1,296","18,640","85,013","2,998","1,182",381,"41,070","50,484","25,140","48,983",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,"115,300","87,229","28,071","3,159","9,984","42,667","35,093",20,"2,810",123,226,957,"8,444","1,191","7,715","39,342","1,262",449,197,"19,379","14,134","7,344","11,706",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,"399,121","312,595","86,526","11,049","23,486","117,850","170,815",46,"10,269",454,326,"1,795","20,699","2,007","23,732","108,024","5,668","1,368",457,"60,954","56,659","46,998","59,666",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,"334,244","245,193","89,051","12,867","31,530","108,173","96,528",26,"12,143",567,156,"1,942","30,184",622,"32,329","104,992","1,299",671,432,"54,754","36,835","16,802","40,489",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,"597,258","438,423","158,835","18,893","41,744","208,441","177,931",225,"17,902",703,287,"2,377","39,756",997,"54,041","200,847","4,773","1,054",483,"102,192","78,845","26,520","66,256",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,"331,383","248,471","82,912","13,805","28,517","113,488","97,950",67,"12,931",662,213,"1,362","27,150",493,"29,977","109,073","2,506",729,474,"51,507","33,921","19,149","41,171",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,"190,842","148,113","42,729","3,246","10,850","55,640","83,795",26,"2,962",140,144,610,"9,058","1,509","11,753","50,506","2,549",495,438,"30,338","31,758","14,977","33,578",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"437,686","336,668","101,018","11,038","31,222","150,599","155,820",53,"10,147",741,150,"2,668","27,130","3,201","33,300","139,478","5,356","1,440",972,"64,997","59,448","27,501","61,102",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,"92,244","72,449","19,796","1,684","7,118","33,872","32,416",6,"1,596",64,24,111,"6,626",404,"6,526","31,319","1,635",243,248,"13,154","12,177","5,582","12,531",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,"132,581","106,294","26,287","4,131","9,798","42,519","53,061",11,"3,866",150,115,758,"8,699",833,"7,578","39,569","1,327",456,219,"17,941","19,328","11,068","20,663",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,"228,958","180,634","48,324","5,275","15,523","77,552","88,895",41,"4,928",200,148,558,"13,946","1,229","16,182","71,288","3,801",887,199,"31,543","31,769","15,259","36,980",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire,"103,205","77,033","26,173","2,163","8,031","36,066","34,279",7,"2,045",84,35,408,"7,179",733,"8,102","32,678","1,918",396,307,"17,656","13,780","5,860","12,019",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"362,152","270,209","91,944","15,389","36,556","118,563","105,750",68,"14,223",876,290,"2,599","34,238","1,152","32,909","113,679","2,308",690,444,"56,368","36,862","18,116","47,330",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"157,264","126,810","30,454","5,389","9,219","56,515","61,123",23,"5,086",148,154,241,"7,555","1,362","9,887","51,381","2,955",436,227,"20,304","22,279","13,365","21,861",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York,"790,058","581,377","208,681","35,128","66,777","251,858","238,949",195,"32,999","1,463",666,"4,969","63,300","1,348","69,837","242,652","4,657","1,587",947,"133,680","93,220","35,853","102,685",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"718,481","564,016","154,465","15,690","39,493","231,610","301,699",72,"14,514",733,442,"1,807","33,296","5,022","45,525","208,309","15,023","2,123",691,"107,061","102,946","66,917","113,999",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
